id,x,y
225_Renoir_Moissonneurs,-7.7440205,12.376358
226_Guardi_Rialtobrücke_Oel,-3.4862244,15.108336
227_Pissarro_Paysannes_Montfoucault,0.06652703,6.699283
228_Morisot_Jeune_fille,-2.3428435,-0.685745
229_Gaul_Perlhühner,18.794676,2.9970014
230_Kokoschka_Emil_Buehrle,-1.4958755,-2.9092343
231_Toulouse_Lautrec_Au_lit,-3.7433138,0.6576413
232_Boudin_Kerhor_pecheuses,-1.4702513,15.733253
233_Cezanne_Partie_de_peche,1.2940035,10.259886
234_Dufy_Bord_de_mer,-5.524973,9.042848
235_Renoir_Paysage_avec_baigneuses,-8.397639,10.915374
236_Vlaminck_Nature_morte_bleue,-6.1740723,5.754589
237_Monet_Bassin_aux_nympheas,-14.189402,7.669624
238_Monet_Nympheas_jaunes_et_lilas,-8.457781,10.233738
239_Toulouse_Lautrec_Confettis,-1.7983514,2.6338599
240_Cezanne_Mme_Cezanne_a_leventail,-1.9339828,-0.8798984
241_Gauguin_Tounesol,-13.729422,6.5728965
242_Vuillard__Salon_Natanson,-4.34043,-0.1677545
243_Vuillard_Villeneuve,-7.034063,12.04023
244_Marc_Hund,-5.7006154,5.1676784
245_Daumier_Deux_avocats,-0.91442484,-1.38077
246_Gauguin_Idylle_a_Tahiti,-12.5351715,6.927739
247_Vlaminck_Papeterie,-12.31826,8.009566
248_Guardi_Capriccio,-3.635907,14.464584
249_Cezanne_Begonias,-8.252835,1.6061924
250_Courbet_Maison_Ornans,-5.419454,13.279587
251_Daumier_Orgue,3.352439,11.84575
252_Degas_Ludovic_Lepic,-2.7970722,-0.8938359
253_Ingres_Madame_Ingres,1.3713305,-0.46965814
254_Manet_La_Sultane,-1.7560892,-0.5446093
255_Monet_Bateau,-2.060273,17.016872
256_Pissarro_Conversation,-13.16083,7.751091
257_Renoir_Deux_fillettes,-2.5330405,0.44895107
258_Sisley_Route_Saint_Germain,-13.181906,8.520346
259_Bombois_Bords,-7.274864,14.336708
260_Chappelle_Winterlanschaft,-2.0464346,14.905159
261_Delacroix_Tam_O_Shanter,0.14774778,10.020362
262_Delacroix_Un_officier,-0.16830212,10.6979885
263_Jongkind_Hafen,-1.9762422,16.445997
264_Neer_Kanallandschaft,-1.7233347,14.785315
265_Fantin_Latour_Roses,-8.060699,0.3307675
266_Derain_Parc,-8.443136,11.256209
267_Elsheimer_Heiliger_Hubertus,0.45359576,11.486479
268_Momper_Winterlandschaft,-1.8368208,14.440126
269_Cezanne_Portrait_palette,-0.46736252,-3.8037248
270_Fantin_Latour_Fleurs,-8.685868,0.5928672
271_Vuillard_Modele,-2.5273726,1.7282147
272_Rubens_Kreuzigung,4.505958,9.445801
273_Bonnard_Courses,-4.895239,10.483213
274_Ingres_Angelique,-1.4289727,3.363321
275_Chasseriau_Retour,3.010548,8.989411
276_Marc_Stute,-5.537646,5.773705
277_Daumier_Deux_avocats_1865,-1.7167563,0.5163143
278_Toulouse_Lautrec_Napoleon,-1.2721469,11.091175
279_Monet_Camille_au_petit_chien,1.0587784,0.059250828
280_Kokoschka_Der_Hafen,-4.6274467,11.573762
281_Canal_Canal_Grande,-3.6527288,16.326385
282_Canal_Santa_Maria,-3.5974221,16.383446
